n_ops,kind,task_seed,init_seed,seq_len,winding,steps_settle,contraction,lyap
4,track,0,2,22,0.6480903625488281,13,-0.0669158548116684,-0.045545958034394006
4,track,0,3,22,0.6293675899505615,13,-0.06827753037214279,-0.045545958034394006
4,track,0,4,22,0.6398096680641174,13,-0.06782481074333191,-0.045545958034394006
4,local,0,0,25,0.6254303455352783,15,-0.0645475760102272,-0.05071340183737678
4,local,0,1,25,0.5712122917175293,15,-0.06781450659036636,-0.05071340183737678
4,local,0,2,25,0.5499431490898132,15,-0.06874280422925949,-0.05071340183737678
4,local,0,3,25,0.5402590036392212,15,-0.06613275408744812,-0.05071340183737678
4,local,0,4,25,0.5539308786392212,15,-0.06732574105262756,-0.05071340183737678
4,track,1,0,22,0.6243104934692383,13,-0.06628471612930298,-0.04638800316834787
4,track,1,1,22,0.6246058344841003,13,-0.06760918349027634,-0.04638800316834787
4,track,1,2,22,0.6379784345626831,13,-0.06828264147043228,-0.04638800316834787
4,track,1,3,22,0.6222045421600342,13,-0.06460272520780563,-0.04638800316834787
4,track,1,4,22,0.6302773952484131,13,-0.0691315233707428,-0.04638800316834787
4,local,1,0,25,0.7016012668609619,15,-0.06680075079202652,-0.05008381197089159
4,local,1,1,25,0.5092332363128662,14,-0.06606031954288483,-0.05008381197089159
4,local,1,2,25,0.5185174942016602,14,-0.06856050342321396,-0.05008381197089159
4,local,1,3,25,0.6310965418815613,14,-0.06695498526096344,-0.05008381197089159
4,local,1,4,25,0.6839341521263123,15,-0.06577112525701523,-0.05008381197089159
4,track,2,0,22,0.6230144500732422,13,-0.06475181877613068,-0.04597048158365073
4,track,2,1,22,0.6210213303565979,13,-0.0650537982583046,-0.04597048158365073
4,track,2,2,22,0.6290550231933594,13,-0.06505775451660156,-0.04597048158365073
4,track,2,3,22,0.6216763854026794,12,-0.06513017416000366,-0.04597048158365073
4,track,2,4,22,0.6254337430000305,13,-0.06829333305358887,-0.04597048158365073
4,local,2,0,25,0.7308862209320068,16,-0.06488903611898422,-0.04806007579508009
4,local,2,1,25,0.706061065196991,13,-0.06485749036073685,-0.04806007579508009
4,local,2,2,25,0.6898685097694397,14,-0.06851249188184738,-0.04806007579508009
4,local,2,3,25,0.7178618311882019,13,-0.0669877901673317,-0.04806007579508009
4,local,2,4,25,0.7252598404884338,14,-0.06425079703330994,-0.04806007579508009
4,track,3,0,22,0.6207650303840637,13,-0.0666520968079567,-0.04710479718035994
4,track,3,1,22,0.6267485618591309,13,-0.06509032100439072,-0.04710479718035994
4,track,3,2,22,0.6356766223907471,13,-0.06874296069145203,-0.04710479718035994
4,track,3,3,22,0.6290944218635559,13,-0.0672854334115982,-0.04710479718035994
4,track,3,4,22,0.6329257488250732,13,-0.0650193840265274,-0.04710479718035994
4,local,3,0,25,0.7299832701683044,15,-0.06582388281822205,-0.0464098180893249
4,local,3,1,25,0.7018539905548096,15,-0.06512893736362457,-0.0464098180893249
4,local,3,2,25,0.7004297971725464,14,-0.0681292787194252,-0.0464098180893249
4,local,3,3,25,0.7113333940505981,13,-0.06795550137758255,-0.0464098180893249
4,local,3,4,25,0.7220730781555176,14,-0.06662600487470627,-0.0464098180893249
4,track,4,0,22,0.6155258417129517,12,-0.06731652468442917,-0.0451779068109917
4,track,4,1,22,0.6253969073295593,13,-0.06426996737718582,-0.0451779068109917
4,track,4,2,22,0.6297896504402161,13,-0.06601150333881378,-0.0451779068109917
4,track,4,3,22,0.6209024786949158,13,-0.06425417959690094,-0.0451779068109917
4,track,4,4,22,0.6328604817390442,13,-0.0672205314040184,-0.0451779068109917
